LodgingRevenue,OtherRevenue,BookingsCheckedIn,PersonsNights,RoomNights,DaysSinceLastStay,req_room
192.0,72.0,1,8,4,1059,0
192.0,208.0,1,8,4,1059,0
192.0,130.0,1,8,4,1059,0
192.0,206.0,1,8,4,1059,0
192.0,156.0,1,8,4,1059,0
192.0,77.5,1,8,4,1059,0
192.0,114.0,1,8,4,1059,0
349.4,134.6,2,6,3,341,1
250.0,68.6,2,3,3,824,0
192.0,166.0,1,8,4,1059,0
192.0,72.0,1,8,4,1059,0
192.0,72.0,1,8,4,1059,0
192.0,77.0,1,8,4,1059,0
192.0,72.0,1,8,4,1059,0
192.0,75.5,1,8,4,1059,0
192.0,113.0,1,8,4,1059,0
192.0,72.0,1,8,4,1059,0
385.0,70.0,1,2,1,1056,0
176.0,38.5,1,4,4,1059,0
192.0,174.5,1,8,4,1059,0
192.0,117.0,1,8,4,1059,0
192.0,149.0,1,8,4,1059,0
192.0,85.0,1,8,4,1059,0
192.0,72.0,1,8,4,1059,0
192.0,72.0,1,8,4,1059,0
192.0,88.5,1,8,4,1059,0
192.0,188.0,1,8,4,1059,0
276.0,119.0,1,12,4,1059,0
276.0,122.0,1,12,4,1059,0
192.0,96.0,1,8,4,1059,0
192.0,72.0,1,8,4,1059,0
192.0,79.0,1,8,4,1059,0
192.0,82.0,1,8,4,1059,0
176.0,66.5,1,4,4,1059,0
176.0,36.0,1,4,4,1059,0
73.0,7.0,1,1,1,1056,0
155.88,44.5,1,6,2,1057,0
274.0,83.0,1,8,2,1057,1
202.56,56.0,1,8,4,1058,0
140.0,37.0,1,6,3,1057,0
202.56,56.0,1,8,4,1058,0
168.0,9.0,1,6,3,1057,0
192.0,63.0,1,9,3,1057,0
112.44,14.0,1,2,2,1056,1
111.0,28.0,1,4,2,1056,1
73.0,25.0,1,1,1,1055,0
129.0,135.0,1,6,3,1057,0
612.0,738.0,1,8,4,1058,0
204.0,59.0,1,8,4,1058,0
612.0,1189.5,1,8,4,1058,0
204.0,56.0,1,8,4,1058,0
240.88,64.0,1,4,4,1058,1
300.8,60.0,1,12,4,1058,0
77.0,14.0,1,2,1,1055,0
232.28,105.5,1,8,4,1058,1
115.4,30.5,1,4,2,1056,0
285.9,141.8,2,3,2,951,0
73.0,7.0,1,1,1,1055,0
192.0,28.5,1,1,1,1055,0
73.0,7.0,1,1,1,1054,0
168.0,64.0,1,6,3,1056,0
